Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
1.07333;96.0864;0;0;398.854;14.5024;22.1963;
1.07667;96.0864;0;0;397.961;14.5201;22.1923;
1.08;96.0687;0;0;399.185;14.6241;22.1884;
1.08333;96.0805;0;0;399.364;14.577;22.1865;
1.08667;96.0942;0;0;399.772;15.0677;22.1865;
1.09;96.1099;0;0;399.032;14.8106;22.1766;
1.09333;96.1158;0;0;399.594;15.4073;22.1688;
1.09667;96.1119;0;0;400.819;14.9185;22.1629;
1.1;96.1119;0;0;402.579;15.5564;22.157;
1.10333;96.0883;0;0;402.655;14.7713;22.1531;
1.10667;96.0805;0;0;399.798;15.16;22.1492;
1.11;96.0844;0;0;399.134;14.314;22.1472;
1.11333;96.0864;0;0;396.787;14.6811;22.1452;
1.11667;96.0903;0;0;398.19;14.1551;22.1472;
1.12;96.104;0;0;399.262;14.734;22.1551;
1.12333;96.1236;0;0;399.262;14.7517;22.1629;
1.12667;96.1138;0;0;399.16;15.0187;22.1708;
1.13;96.1138;0;0;399.696;15.368;22.1747;
1.13333;96.104;0;0;400.181;15.0147;22.1786;
1.13667;96.0981;0;0;402.145;15.5545;22.1806;
1.14;96.0864;0;0;402.809;14.7184;22.1865;
1.14333;96.0746;0;0;399.517;15.1227;22.1982;
1.14667;96.0844;0;0;399.874;14.3553;22.21;
1.15;96.0746;0;0;397.476;14.6928;22.2179;
1.15333;96.0844;0;0;399.313;14.2277;22.2257;
1.15667;96.1138;0;0;400.155;14.8871;22.2316;
1.16;96.1099;0;0;399.9;14.7439;22.2355;
1.16333;96.1079;0;0;399.492;14.9166;22.2395;
1.16667;96.1079;0;0;399.849;15.1835;22.2296;
1.17;96.0922;0;0;400.589;14.9009;22.2179;
1.17333;96.1001;0;0;401.15;15.4681;22.208;
1.17667;96.0805;0;0;400.129;14.7184;22.2022;
1.18;96.0864;0;0;396.455;15.3523;22.1943;
1.18333;96.0864;0;0;397.501;14.263;22.1904;
1.18667;96.0883;0;0;396.736;14.5947;22.1845;
1.19;96.1021;0;0;399.619;14.1315;22.1825;
1.19333;96.106;0;0;400.87;15.0363;22.1786;
1.19667;96.1079;0;0;400.487;14.6065;22.1766;
1.2;96.1138;0;0;400.691;15.1207;22.1727;
1.20333;96.0864;0;0;400.41;15.2777;22.1708;
1.20667;96.0824;0;0;401.814;15.1541;22.1708;
1.21;96.0864;0;0;401.635;15.4563;22.1688;
1.21333;96.0766;0;0;400.614;14.8165;22.1708;
1.21667;96.0824;0;0;397.603;15.3405;22.1766;
1.22;96.0864;0;0;398.573;14.369;22.1806;
1.22333;96.1079;0;0;399.543;14.7733;22.1845;
1.22667;96.1021;0;0;401.941;14.3258;22.1884;
1.23;96.106;0;0;402.936;15.2012;22.1904;
1.23333;96.1138;0;0;401.584;14.7478;22.1943;
1.23667;96.0903;0;0;400.819;15.1953;22.1963;
1.24;96.0844;0;0;400.155;15.2149;22.2022;
1.24333;96.0766;0;0;399.925;15.0756;22.212;
1.24667;96.0844;0;0;399.517;15.3229;22.2159;
1.25;96.0824;0;0;399.696;14.8008;22.2218;
1.25333;96.0962;0;0;397.425;15.103;22.2257;
